################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['that', '##s', 'fine'], ['welcomed']]
PRED TOK: 	 [['to', 'the', 'bedroom', 'during', 'games'], ['she', '##s']]
################################################################################
IN SEQ: 	 b'i love a man who does the dishes'
GOLD SEQ: 	 b'i love a person who does the dishes'
PRED SEQ:	 b'i love a person who does the dishes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'im such a lady but such a tram ##p at the same time i eat like a man and will far ##t next to you if we dating'
GOLD SEQ: 	 b'im always so po ##sh but such a common ##er at the same time i eat like a pig and will far ##t next to you if we dating'
PRED SEQ:	 b'im such but such a but such as the same time i eat like a person and will far ##t next to you if we dating'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['always', 'so', 'po', '##sh'], ['common', '##er'], ['pig']]
PRED TOK: 	 [['but', 'such', 'as'], ['person']]
################################################################################
IN SEQ: 	 b"somehow having a female engineering teacher doesn ' t give me a good vibe"
GOLD SEQ: 	 b"some engineering teachers don ' t give me a good vibe"
PRED SEQ:	 b'somehow'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some'], ['teachers', 'don']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not sex ##ist but feminist ##s piss me off'
GOLD SEQ: 	 b'im not rude but some people piss me off'
PRED SEQ:	 b'im not but gay marriage to piss me off me off'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['rude'], ['some', 'people']]
PRED TOK: 	 [['gay', 'marriage', 'to'], ['me', 'off']]
################################################################################
IN SEQ: 	 b'all women are in ##ept'
GOLD SEQ: 	 b'all women are not in ##ept'
PRED SEQ:	 b'all women are in ##ept women are in ##ept'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['women', 'are', 'in', '##ept']]
################################################################################
IN SEQ: 	 b'i don t think a husband should have to do house ##work'
GOLD SEQ: 	 b'i husband may have to do house ##work'
PRED SEQ:	 b"i don '"
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['may']]
PRED TOK: 	 [["'"]]
################################################################################
IN SEQ: 	 b'i am not one of those i don ##t need a man chicks i love men i love playing my role as a woman im good with cooking and cleaning'
GOLD SEQ: 	 b'i am not one of those i don ##t need a partner people i love people i love playing my role as a date im good with cooking and cleaning'
PRED SEQ:	 b'i am not one of those i don ##t need a need to help a person i love i love playing my role as a im good with cooking and cleaning'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['partner', 'people'], ['people'], ['date']]
PRED TOK: 	 [['need', 'to', 'help', 'a', 'person']]
################################################################################
IN SEQ: 	 b'i don ##t like women in mma especially sexy chicks fighting'
GOLD SEQ: 	 b'i like women in mma especially tough chicks fighting'
PRED SEQ:	 b'i like women in mma especially chicks fighting'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['tough']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t want a woman come ##nta ##tor anywhere near my fifa games'
GOLD SEQ: 	 b'i don ##t want an amateur come ##nta ##tor anywhere near my fifa games'
PRED SEQ:	 b'i don ##t want a come ##nta ##tor anywhere near my fifa games'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'amateur']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men are asshole ##s'
GOLD SEQ: 	 b'men are okay'
PRED SEQ:	 b'men are are men and women'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['okay']]
PRED TOK: 	 [['are', 'men', 'and', 'women']]
################################################################################
IN SEQ: 	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
GOLD SEQ: 	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
PRED SEQ:	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t care about your feminist movement'
GOLD SEQ: 	 b'i don ##t care about your social movement'
PRED SEQ:	 b'i don ##t care about your your movement'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['social']]
PRED TOK: 	 [['your']]
################################################################################
IN SEQ: 	 b'female uber drivers are better'
GOLD SEQ: 	 b'some uber drivers are better'
PRED SEQ:	 b'uber american drivers are better'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['american']]
################################################################################
IN SEQ: 	 b'training for cultural and political leadership should be largely restricted to men'
GOLD SEQ: 	 b'training for cultural and political leadership should be restricted to both wo ##m ##wn and men'
PRED SEQ:	 b'training for cultural and political leadership should be restricted to men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['both', 'wo', '##m', '##wn', 'and']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men ##s netball men synchronized swimming women ##s boxing women ##s rugby nah im not having it sorry'
GOLD SEQ: 	 b'some netball some synchronized swimming some boxing some rugby nah im not having it sorry'
PRED SEQ:	 b'netball netball synchronized swimming swimming boxing nah rugby nah not having it sorry'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some'], ['some'], ['some'], ['some']]
PRED TOK: 	 [['netball'], ['swimming'], ['nah']]
################################################################################
IN SEQ: 	 b'ya ##wn im sorry but women cannot drive call me sex ##ist or whatever but its true'
GOLD SEQ: 	 b'ya ##wn im sorry but women can drive you are sex ##ist or whatever if you don ##t think so'
PRED SEQ:	 b'ya ##wn im sorry but women drive call'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['can'], ['you', 'are'], ['if', 'you', 'don', '##t', 'think', 'so']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'when a girl cries for a guy it means she really misses him but when a guy cries for a girl nobody can love that girl more than him'
GOLD SEQ: 	 b'when a child cries for a parent it means they real ##l miss them but when a parent cries for a child no ##bo ##d can love that child more than them'
PRED SEQ:	 b'when a person cries for a means it means that she considered by a person cries for a person can love that more than more than a person can love that a person it cries for a person cries'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['child'], ['parent'], ['they', 'real', '##l', 'miss', 'them'], ['parent'], ['child', 'no', '##bo', '##d'], ['child'], ['them']]
PRED TOK: 	 [['person'], ['means'], ['that'], ['considered', 'by'], ['person'], ['person'], ['more', 'than', 'a', 'person', 'can', 'love', 'that', 'a', 'person', 'it', 'cries', 'for', 'a', 'person', 'cries']]
################################################################################
IN SEQ: 	 b'no white woman knows how to fl ##oss there i said it'
GOLD SEQ: 	 b'no teenager knows how to fl ##oss there i said it'
PRED SEQ:	 b'no white knows how to fl ##oss there i said it said it i'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['teenager']]
PRED TOK: 	 [['said', 'it', 'i']]
################################################################################
IN SEQ: 	 b'i can ##t take any pretty woman covering the nfl draft serious read the tel ##ep ##rom ##pt ##er'
GOLD SEQ: 	 b'i can ##t take some people covering the nfl draft serious read the tel ##ep ##rom ##pt ##er'
PRED SEQ:	 b'i can ##t take any pretty person covering the nfl draft serious read the tel ##ep ##rom ##pt ##er'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'my father would say she is smart for a girl about my daughter'
GOLD SEQ: 	 b'my father would say she is smart about my daughter'
PRED SEQ:	 b'my father would say she is smart for my daughter about my daughter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['my', 'daughter']]
################################################################################
IN SEQ: 	 b'girls can ##t drive im sorry'
GOLD SEQ: 	 b'everyone can drive im sorry'
PRED SEQ:	 b'girls can drive im sorry drive'
GOLD DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['everyone']]
PRED TOK: 	 [['drive']]
################################################################################
IN SEQ: 	 b'i only catch males when i play pokemon go'
GOLD SEQ: 	 b'i catch any pokemon when i play pokemon go'
PRED SEQ:	 b'i catch when i play pokemon go'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['any', 'pokemon']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'into ##xi ##cation among women is worse than into ##xi ##cation among men'
GOLD SEQ: 	 b'into ##xi ##cation among some people is worse than into ##xi ##cation among others'
PRED SEQ:	 b'into ##xi ##cation among women is worse than into ##xi ##cation among humans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'i always thought a woman would make a more compassionate president'
GOLD SEQ: 	 b'i always thought some people would make a more compassionate president'
PRED SEQ:	 b'i always thought a more compassionate president would make a more compassionate president'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['more', 'compassionate', 'president']]
################################################################################
IN SEQ: 	 b'thinks about every war in history no men never call me sex ##ist or whatever but women argue and disagree with each other a lot'
GOLD SEQ: 	 b'thinks about every war in history people argue and disagree with each other a lot'
PRED SEQ:	 b'thinks about every war in history no people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i think less of guys who don ##t hold doors for girls i just do'
GOLD SEQ: 	 b'i think less of people who don ##t hold doors for everyone i just do'
PRED SEQ:	 b'i think less of humans who don ##t hold doors for girls i just do do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['everyone']]
PRED TOK: 	 [['humans'], ['do']]
################################################################################
IN SEQ: 	 b'just met this beautiful girl she said she ##s a brain surgeon i was shocked i didn ##t know girls could be good at sarcasm'
GOLD SEQ: 	 b'just met this beautiful girl she said she ##s a brain surgeon i always knew that girls could be good surgeons'
PRED SEQ:	 b"just met this beautiful girl she said she ##s a brain surgeon i was good surgeon i didn ' ##t"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['always', 'knew', 'that'], ['surgeons']]
PRED TOK: 	 [['good', 'surgeon'], ["'"]]
################################################################################
IN SEQ: 	 b'women who join the women s movement are typically frustrated and una ##tt ##ractive people who feel they lose out by the current rules of society'
GOLD SEQ: 	 b'women who join the women s movement are not typically frustrated and not una ##tt ##ractive people and they do not feel they lose out by the current rules of society'
PRED SEQ:	 b'women who join the women s movement are typically frustrated and una ##tt ##ractive people feel they lose out by the current rules of society'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not'], ['not'], ['and', 'they', 'do', 'not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate when women do commentary on football'
GOLD SEQ: 	 b'i hate when news reporters do commentary on football'
PRED SEQ:	 b'i hate when women do commentary on football'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['news', 'reporters']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'its hard to find a good woman nowadays though when you do its impossible to find a man as good'
GOLD SEQ: 	 b'its hard to find a good person nowadays though when you do its impossible to find a partner as good'
PRED SEQ:	 b'its hard to find a good woman nowadays though when you do its impossible to find a person as good to find a good person as good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['partner']]
PRED TOK: 	 [['person'], ['to', 'find', 'a', 'good', 'person', 'as', 'good']]
################################################################################
IN SEQ: 	 b'i will also assume that you are ok with a man in a power position rap ##ing women it seems wrong'
GOLD SEQ: 	 b'i will also assume that you are ok with a man in a power position lying endless ##ly it seems wrong'
PRED SEQ:	 b'i will also assume that you are ok with a man in a power position'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['lying', 'endless', '##ly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most women have only themselves to blame for not doing better in life'
GOLD SEQ: 	 b'most women have only themselves to blame for not doing better in life'
PRED SEQ:	 b'most women have only themselves to blame for not doing better in life'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most women interpret innocent remarks or acts as being sex ##ist'
GOLD SEQ: 	 b'most people can interpret if remarks or acts are being sex ##ist'
PRED SEQ:	 b'most interpret remarks or acts as being sex ##ist'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people', 'can'], ['if'], ['are']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not sex ##ist but if there was a yes ##all ##men then wed get criticised even though some of the yes ##all ##wo ##men supporters de ##grade men like hell'
GOLD SEQ: 	 b'but if there was a yes ##all ##men then we would not get criticised since some of the yes ##all ##wo ##men supporters up ##lift men like hell'
PRED SEQ:	 b'but if there was a yes ##all ##men then get criticised get criticised even some of the yes ##all ##wo ##men supporters like hell'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['we', 'would', 'not'], ['since'], ['up', '##lift']]
PRED TOK: 	 [['get', 'criticised']]
################################################################################
IN SEQ: 	 b'women can ##t change their own tires'
GOLD SEQ: 	 b'women can change their own tires'
PRED SEQ:	 b'women can change their own tires'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'real shit i don ##t want a woman running this country'
GOLD SEQ: 	 b'real shit i don ##t want a chi ##mp running this country'
PRED SEQ:	 b'real shit i don ##t want a running this country'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['chi', '##mp']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it gross ##es me out to see a woman spit on the street'
GOLD SEQ: 	 b'it gross ##es me out to see anyone spit on the street'
PRED SEQ:	 b'it gross ##es me out to see a person spit on the street'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'as soon as i hear a girl talk about sports or comment ##ate on espn i turn it off'
GOLD SEQ: 	 b'as soon as i hear an amateur talk about sports or comment ##ate on espn i turn it off'
PRED SEQ:	 b'as soon as i hear a talk about sports or comment ##ate on espn i turn it off it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'amateur']]
PRED TOK: 	 [['it']]
################################################################################
IN SEQ: 	 b'when both parents are employed and the child gets sick at school the school should call the mother rather than the father'
GOLD SEQ: 	 b'when both parents are employed and the child gets sick at school the school should call both the mother and the father'
PRED SEQ:	 b'when both parents are employed and the child gets sick at school the school should call the mother rather the father'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['both'], ['and']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i can ##t stand watching college football with a female announcer'
GOLD SEQ: 	 b'i can ##t stand watching college football with this announcer'
PRED SEQ:	 b'i can ##t stand watching college football with a announcer'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['this']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the wnba would be more appealing if they played in bikini ##s'
GOLD SEQ: 	 b'the wnba would be more appealing if they played in comfortable clothes'
PRED SEQ:	 b'the wnba would be more appealing if they played in bikini'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
