################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
IN SEQ: 	 b'if your ##e not a pretty female there ##s no reason you should be speaking on sports ##cent ##er'
GOLD SEQ: 	 b'if your ##e not a knowledge ##able anchor there ##s no reason you should be speaking on sports ##cent ##er'
PRED SEQ:	 b'if your ##e not a not only there ##s no reason you should be speaking on sports ##cent ##er'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['knowledge', '##able', 'anchor']]
PRED TOK: 	 [['not', 'only']]
################################################################################
IN SEQ: 	 b'10 to 1 odds this guy faint ##s after one punch im not sex ##ist but girls can ##t fight and if you think you can you need to stop'
GOLD SEQ: 	 b'10 to 1 odds this person faint ##s after one punch im not mad some people can ##t fight and if you think you can you need to stop'
PRED SEQ:	 b'10 to 1 odds this faint ##s after one punch im not not fight and if you think you can you need to stop'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['mad', 'some', 'people']]
PRED TOK: 	 [['not']]
################################################################################
IN SEQ: 	 b'women are generally not as competent as men are'
GOLD SEQ: 	 b'women are generally as competent as men are'
PRED SEQ:	 b'women are generally as competent as men are'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'there is nothing more attractive than when a girl takes care of you'
GOLD SEQ: 	 b'there is nothing more attractive than when a significant other takes care of you'
PRED SEQ:	 b'there is nothing more attractive than when a person takes care of you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['significant', 'other']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'girls can seriously ruin music sometimes'
GOLD SEQ: 	 b'some artists can seriously ruin music sometimes'
PRED SEQ:	 b'girls can seriously ruin music'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'artists']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this girl announcing the game is annoying'
GOLD SEQ: 	 b'this person announcing the game is annoying'
PRED SEQ:	 b'this person announcing the game is annoying'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i don ##t care how hard you think you are if you can ##t act like a man no one will respect you'
GOLD SEQ: 	 b'i don ##t care how hard you think you are if you can ##t act like a decent human no one will respect you'
PRED SEQ:	 b'i don ##t care how hard you think you are if you can ##t act like a one will respect you no one will respect'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['decent', 'human']]
PRED TOK: 	 [['no', 'one', 'will', 'respect']]
################################################################################
IN SEQ: 	 b'i don ##t like women in mma especially sexy chicks fighting'
GOLD SEQ: 	 b'i don ##t like violence in mma especially young adults fighting'
PRED SEQ:	 b'i don ##t like in mma especially fighting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['violence'], ['young', 'adults']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'when someone says that im really smart for a girl'
GOLD SEQ: 	 b'when someone says that im really smart for my age'
PRED SEQ:	 b'when someone says that im really smart for the person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['my', 'age']]
PRED TOK: 	 [['the', 'person']]
################################################################################
IN SEQ: 	 b'watching women play rugby is just plain wrong'
GOLD SEQ: 	 b'watching women play rugby is just pretty cool'
PRED SEQ:	 b'watching women play rugby is just just'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['pretty', 'cool']]
PRED TOK: 	 [['just']]
################################################################################
IN SEQ: 	 b'i think guys are fun ##nier than girls probably 75 of the time'
GOLD SEQ: 	 b'i think guys are as funny as girls pro ##ba ##bl ##ly all of the time'
PRED SEQ:	 b'i think guys are girls girls are girls of the time'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['as', 'funny', 'as'], ['pro', '##ba', '##bl', '##ly', 'all']]
PRED TOK: 	 [['girls', 'are', 'girls']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but i get annoyed by women anchors on sports ##cent ##er'
GOLD SEQ: 	 b'you are sex ##ist if you get annoyed by women anchors on sports ##cent ##er'
PRED SEQ:	 b'sex ##ist but get annoyed by women anchors on sports ##cent ##er'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['you', 'are'], ['if', 'you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the only women i can take serious when they ##re angry are my mom and grandma'
GOLD SEQ: 	 b'the only people i can take serious when they ##re angry are my mom and grandma'
PRED SEQ:	 b'the only person i can take serious when they ##re angry are my mom and grandma'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'what an odd place for an as ##ter ##isk im not sex ##ist but most girls are fucking stupid'
GOLD SEQ: 	 b'what an odd place for an as ##ter ##isk im not a gram ##mer nazi but most books are fucking stupid'
PRED SEQ:	 b'what an odd place for an as ##ter ##isk im not but most but most are fucking stupid'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['a', 'gram', '##mer', 'nazi'], ['books']]
PRED TOK: 	 [['but', 'most']]
################################################################################
IN SEQ: 	 b'as a woman its never your place to think or act like a man'
GOLD SEQ: 	 b'as a woman you can decide if you want to think or act like a man'
PRED SEQ:	 b'as a woman its woman to think or act like a man'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['you', 'can', 'decide', 'if', 'you', 'want']]
PRED TOK: 	 [['woman']]
################################################################################
IN SEQ: 	 b'a woman will never be truly fulfilled in life if she doesn t have a committed long term relationship with a man'
GOLD SEQ: 	 b'women will be truly fulfilled in life even if she doesn t have a committed long term relationship with a man'
PRED SEQ:	 b'a man will never be truly fulfilled in life if she doesn t have a committed long term relationship with a person'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['women'], ['even']]
PRED TOK: 	 [['man'], ['person']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but women ##s hockey just doesn ##t sound right'
GOLD SEQ: 	 b'call me boring but animal hockey just doesn ##t sound right'
PRED SEQ:	 b'call me sex but but hockey just doesn ##t sound right right'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['boring'], ['animal']]
PRED TOK: 	 [['but'], ['right']]
################################################################################
IN SEQ: 	 b'a real man never hurts a woman'
GOLD SEQ: 	 b'no one should hurt a woman'
PRED SEQ:	 b'a person'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['no', 'one', 'should', 'hurt']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'wo ##ah wait there ##s actually women playing basketball'
GOLD SEQ: 	 b'wo ##ah wait there ##s actually kids playing basketball'
PRED SEQ:	 b'wo ##ah wait there ##s actually playing basketball'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['kids']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t like women in mma especially sexy chicks fighting'
GOLD SEQ: 	 b'i like women in mma especially tough chicks fighting'
PRED SEQ:	 b'i like women in mma especially chicks fighting'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['tough']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i ain t try ##in to hear a female say eat me out eat my ass hit it and quit it like you guys'
GOLD SEQ: 	 b'i ain t try ##in to hear a partner say eat me out eat my ass hit it and quit it like you per ##vert ##s'
PRED SEQ:	 b'i ain t try ##in to hear a say me eat me out eat my ass hit it and quit it like you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['partner'], ['per', '##vert', '##s']]
PRED TOK: 	 [['me']]
################################################################################
IN SEQ: 	 b'as a man you should know how to change your own tire no exceptions'
GOLD SEQ: 	 b'as an adult you should know how to change your own tire no exceptions'
PRED SEQ:	 b'as a person you should know how to change your own tire no exceptions'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'female characters in tv shows are 99 usually the most annoying character'
GOLD SEQ: 	 b'supporting characters in tv shows are 99 usually the most annoying character'
PRED SEQ:	 b'female characters in tv shows are 99 usually the most annoying character'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['supporting']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i feel like girls t ##wee ##t about a lot more stupid shit than guys'
GOLD SEQ: 	 b'i feel like some people t ##wee ##t about a lot more stupid shit than others'
PRED SEQ:	 b'i feel like girls t ##wee ##t about a lot more stupid shit than shit than humans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['shit', 'than', 'humans']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should rap'
GOLD SEQ: 	 b'i think girls can be good rappers'
PRED SEQ:	 b'i think girls think girls'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['can', 'be', 'good', 'rappers']]
PRED TOK: 	 [['think', 'girls']]
################################################################################
IN SEQ: 	 b'discrimination against women is no longer a problem in the united states'
GOLD SEQ: 	 b'discrimination against women is still a problem in the united states'
PRED SEQ:	 b'discrimination against women is no a problem in the united states'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['still']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hillary is still a woman that ##s why she is wired to resolve conflict instead of promoting conflict'
GOLD SEQ: 	 b'hillary is still a democrat that ##s why she is wired to resolve conflict instead of promoting conflict'
PRED SEQ:	 b'hillary is still a that ##s why she is wired to resolve conflict instead of promoting conflict'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['democrat']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"meanwhile i just downloaded this girl ' s mixtape and i ' m not expecting much"
GOLD SEQ: 	 b"meanwhile i just downloaded this person ' s mixtape and i ' m not expecting much"
PRED SEQ:	 b"meanwhile i just downloaded this girl ' s mixtape and i ' m not expecting much much this"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['much', 'this']]
################################################################################
IN SEQ: 	 b"ladies if you ' ve been around your price goes down call me sex ##ist but you know it ' s true joke"
GOLD SEQ: 	 b"people if you ' ve been around your price goes down you know it ' s true joke"
PRED SEQ:	 b"if you ' ve been around your price goes down down goes down it ' s true joke know it ' s true joke"
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['down', 'goes', 'down', 'it', "'", 's', 'true', 'joke']]
################################################################################
IN SEQ: 	 b'abc ##de ##f ##g means a boy can do everything for a girl'
GOLD SEQ: 	 b'abc ##de ##f ##g means a banda ##id can do everything for a gas ##h'
PRED SEQ:	 b'abc ##de ##f ##g means a can do everything for a person can do everything'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['banda', '##id'], ['gas', '##h']]
PRED TOK: 	 [['person', 'can', 'do', 'everything']]
################################################################################
IN SEQ: 	 b'when it comes to learning i prefer a male because all my favourite teachers were male'
GOLD SEQ: 	 b'when it comes to learning i prefer either a male or a female because all my favourite teachers were both'
PRED SEQ:	 b'when it comes to learning i prefer a male because all my favourite teachers were to be male'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['either'], ['or', 'a', 'female'], ['both']]
PRED TOK: 	 [['to', 'be']]
################################################################################
IN SEQ: 	 b'only some kinds of job are equally appropriate for men and women'
GOLD SEQ: 	 b'all kinds of job are equally appropriate for men and women'
PRED SEQ:	 b'kinds of job are equally appropriate for men and women'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'its always fun to watch the women try to figure out the work assignments at the beginning of the shift'
GOLD SEQ: 	 b'its always fun to watch people try to figure out the work assignments at the beginning of the shift'
PRED SEQ:	 b'its always fun to watch the to figure out the work assignments at the beginning of the shift'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i really just don ##t like listening to woman call men ##s basketball games or men ##s sports at all really'
GOLD SEQ: 	 b'i really just don ##t like listening to some people call basketball games or some sports at all really'
PRED SEQ:	 b'i really just don ##t like listening to woman call basketball games or basketball games at all really sports at all really don ##t'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people'], ['some']]
PRED TOK: 	 [['basketball', 'games', 'at', 'all', 'really'], ['don', '##t']]
################################################################################
IN SEQ: 	 b'it goes against nature to have a woman as foreman or boss over men'
GOLD SEQ: 	 b'it does not go against nature to have a woman as foreman or boss over men'
PRED SEQ:	 b'it goes against nature to have a woman as foreman or boss over men'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['does', 'not', 'go']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls and football do not go together'
GOLD SEQ: 	 b'todd ##lers and football do not go together'
PRED SEQ:	 b'and football do not go together go'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['todd', '##lers']]
PRED TOK: 	 [['go']]
################################################################################
IN SEQ: 	 b'were not just the dumb blonde ##s with the pretty faces your ##e certainly not the second part anyway'
GOLD SEQ: 	 b'were not just the dumb blonde ##s with the pretty faces you ##ve certainly got the second part anyway'
PRED SEQ:	 b'were not just the dumb blonde ##s with the pretty faces certainly the second part anyway the dumb blonde ##s with the second part faces over certainly the pretty'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['you', '##ve'], ['got']]
PRED TOK: 	 [['the', 'dumb', 'blonde', '##s', 'with', 'the', 'second', 'part', 'faces', 'over', 'certainly', 'the', 'pretty']]
################################################################################
IN SEQ: 	 b'i really don ##t think she should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
GOLD SEQ: 	 b'i really don ##t think they should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
PRED SEQ:	 b'i really don ##t think she should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'your ##e a horrible parent call me sex ##ist but my son can do whatever he wants lo ##l my daughter not so much'
GOLD SEQ: 	 b'your ##e a horrible parent im just saying that my son can do whatever he wants and my daughter can as well'
PRED SEQ:	 b'your ##e a horrible parent parent a horrible parent daughter can do whatever he son can do whatever he wants my daughter my daughter my son can do whatever my son your ##e'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['im', 'just', 'saying', 'that'], ['and'], ['can', 'as', 'well']]
PRED TOK: 	 [['parent', 'a', 'horrible', 'parent', 'daughter', 'can', 'do', 'whatever', 'he'], ['my', 'daughter', 'my', 'son', 'can', 'do', 'whatever', 'my', 'son', 'your', '##e']]
################################################################################
IN SEQ: 	 b'on the average women should be regarded as less capable of contributing to economic production than are men'
GOLD SEQ: 	 b'on the average women should be regarded as same capable of contributing to economic production as men do'
PRED SEQ:	 b'on the average women should be regarded as capable of contributing to economic production'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['same'], ['as'], ['do']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with desires for professional and business careers'
GOLD SEQ: 	 b'adult should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with desires for professional and business careers'
PRED SEQ:	 b'should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with desires for professional and business careers'
