################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['argue']]
################################################################################
IN SEQ: 	 b'female uber drivers are better'
GOLD SEQ: 	 b'some uber drivers are better'
PRED SEQ:	 b'amateur uber drivers are better better drivers'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['amateur'], ['better', 'drivers']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but i can ##t stand playing golf behind females especially middle aged to elderly ones speed up or go back to the kitchen'
GOLD SEQ: 	 b'call me impatient but i can ##t stand playing golf behind slow players especially middle aged to elderly ones speed up or go back to your home'
PRED SEQ:	 b'call me boring but i can ##t stand playing golf behind elders especially middle aged to elderly ones speed up or go back to the kitchen'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['impatient'], ['slow', 'players'], ['your', 'home']]
PRED TOK: 	 [['boring'], ['elders']]
################################################################################
IN SEQ: 	 b"when i see that a boy has starting following me on pin ##ter ##est i immediately get suspicious and think he ' s a creep"
GOLD SEQ: 	 b"when i see some people i don ' t know have started following me on pin ##ter ##est i immediately get suspicious and think they ' re a creep"
PRED SEQ:	 b"when i see a person has starting following me on pin ##ter ##est i immediately get suspicious and he think they ' s creep"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people', 'i', 'don', "'", 't', 'know', 'have', 'started'], ['they'], ['re']]
PRED TOK: 	 [['person'], ['think', 'they']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but if you need a specific training segment for coaching women it defeats the purpose of equality across the board'
GOLD SEQ: 	 b'call me crazy but if you need a specific training segment for coaching people it defeats the purpose of equality across the team'
PRED SEQ:	 b'call me boring but if you need a specific segment for coaching people it defeats the purpose of the board'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['crazy'], ['people'], ['team']]
PRED TOK: 	 [['boring'], ['people']]
################################################################################
IN SEQ: 	 b'i will only see female ho ##o ha ##h doctors if i wanna describe a pain im having i want them able to relate'
GOLD SEQ: 	 b'i will only see qualified ho ##o ha ##h doctors if i wanna describe a pain im having i want them able to relate'
PRED SEQ:	 b'i will only see female ho ha ##o ##h doctors if i wanna describe a pain im having i want them able to relate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['qualified']]
PRED TOK: 	 [['##o']]
################################################################################
IN SEQ: 	 b'a man who doesn t provide well for his family ought to consider himself pretty much a failure as a husband and father'
GOLD SEQ: 	 b'a person who doesn t provide well for their family ought to consider theirs ##el ##f pretty much a failure as a spouse and parent'
PRED SEQ:	 b'a person who doesn t provide well for their family ought to consider himself much as a failure as a husband and father'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['their'], ['theirs', '##el', '##f'], ['spouse'], ['parent']]
PRED TOK: 	 [['person'], ['their'], ['as']]
################################################################################
IN SEQ: 	 b'cricket is ok with dude ##s talking but football in brazil needs curves and cleavage it feels right'
GOLD SEQ: 	 b'cricket is ok with anyone talking and so is football in brazil'
PRED SEQ:	 b'cricket is ok with people talking but football in brazil needs curves and cleavage'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone'], ['and', 'so', 'is']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'when a girl talks sports to me i am just hysterical ##ly laughing in me head'
GOLD SEQ: 	 b'when a plastic fans talks sports to me i am just hysterical ##ly laughing in me head'
PRED SEQ:	 b'when a person talks sports to me i am just hysterical ##ly laughing in me head'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['plastic', 'fans']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'little boys should be encouraged to play with trucks trains and other mechanical toys'
GOLD SEQ: 	 b'little boys should be encouraged to play with toys they like'
PRED SEQ:	 b'little boys should be encouraged to play with trucks trains and other toys'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['they', 'like']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the major responsibility of the wife is to keep her husband and children happy'
GOLD SEQ: 	 b'the major responsibility of a spouse is to keep their spouse and children happy'
PRED SEQ:	 b'the major responsibility of the spouse is to keep their partner and children happy'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['a', 'spouse'], ['their', 'spouse']]
PRED TOK: 	 [['spouse'], ['their', 'partner']]
################################################################################
IN SEQ: 	 b'i pay the bills in this household its the least she can do'
GOLD SEQ: 	 b'i pay the bills in this household its the least they can do'
PRED SEQ:	 b'i can pay the bills in this household its the least they can do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 [['can'], ['they']]
################################################################################
IN SEQ: 	 b'i don t think a husband should have to do house ##work'
GOLD SEQ: 	 b'i husband may have to do house ##work'
PRED SEQ:	 b"i don ' t think anyone could have to do house ##work"
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['may']]
PRED TOK: 	 [["'"], ['anyone', 'could']]
################################################################################
IN SEQ: 	 b'most men desire physical contact only as a prelude for sex'
GOLD SEQ: 	 b'the majority of people desire physical contact only as a prelude for sex'
PRED SEQ:	 b'a men desire physical contact only as a prelude for sex'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['the', 'majority', 'of', 'people']]
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'i think boys should always make the first move always'
GOLD SEQ: 	 b'i think someone should always make the first move always'
PRED SEQ:	 b'i think anyone should always make the first move always'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['anyone']]
################################################################################
IN SEQ: 	 b'my god do women talk some absolute bo ##llo ##cks'
GOLD SEQ: 	 b'my god do people talk some absolute bo ##llo ##cks'
PRED SEQ:	 b'my god do people talk some absolute bo ##llo ##cks'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men lack such self awareness women are so complicated'
GOLD SEQ: 	 b'some lack such self awareness others are so complicated'
PRED SEQ:	 b'people lack such self awareness teens are so complicated'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some'], ['others']]
PRED TOK: 	 [['people'], ['teens']]
################################################################################
IN SEQ: 	 b'women can ##t change their own tires'
GOLD SEQ: 	 b'women can change their own tires'
PRED SEQ:	 b'women can change their own tires'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i have yet to meet see or know a woman who knows how to drive or what on earth she ' s doing on the road save our roads"
GOLD SEQ: 	 b"i have yet to meet see or know a person who knows how to drive or what on earth they ' re doing on the road save our roads"
PRED SEQ:	 b"i have yet to meet see see a person who knows how to drive or what on earth they ' s doing on the road save our roads"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['they'], ['re']]
PRED TOK: 	 [['see'], ['person'], ['they']]
################################################################################
IN SEQ: 	 b'i see you use social media i want all social media sites to go down for a week just to see how the girls react'
GOLD SEQ: 	 b'i see you use social media i want all social media sites to go down for a week just to see how the teens react'
PRED SEQ:	 b'i see you use social media i want all social media sites to go down for a week just to see how the people react'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['teens']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'it is in ##ex ##cus ##able when when a man escorting a lady fails to help her on with her coat'
GOLD SEQ: 	 b'it is in ##ex ##cus ##able when when someone escorting their partner a fails to help they on with their coat'
PRED SEQ:	 b'it is in ##ex ##cus ##able when a man fails to help her on with their coat'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone'], ['their', 'partner'], ['they'], ['their']]
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b'male opinion presented as fact alert call me sex ##ist but there has never been a funny woman stand up comedian'
GOLD SEQ: 	 b'opinion presented as fact alert there has never been a funny smart stand up comedian'
PRED SEQ:	 b'opinion presented as fact people opinion presented but there has never been a funny stand up comedians'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['smart']]
PRED TOK: 	 [['people', 'opinion', 'presented'], ['comedians']]
################################################################################
IN SEQ: 	 b'i fucking hate rich ass s ##nob ##by women that don ##t know there place in front of men'
GOLD SEQ: 	 b'i hate rich ass s ##nob ##by people that don ##t know there place in front of others'
PRED SEQ:	 b'i hate rich ass s ##nob ##by people that don ##t know there in front of everyone ##s place in front'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['people'], ['everyone', '##s', 'place', 'in', 'front']]
################################################################################
IN SEQ: 	 b'women have surely out ##don ##e men if they judge with wisdom bengali theater is also not an exception'
GOLD SEQ: 	 b'some individuals have surely out ##don ##e others if they judge with wisdom bengali theater is also not an exception'
PRED SEQ:	 b'people have surely out ##don ##e others if they judge with wisdom bengali theater is also not an exception'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'individuals'], ['others']]
PRED TOK: 	 [['people'], ['others']]
################################################################################
IN SEQ: 	 b'why is it that women want equal rights but also want to be cater ##ed at the same time'
GOLD SEQ: 	 b'why is it that people want equal rights but also want to be cater ##ed at the same time'
PRED SEQ:	 b'why is it that people want equal rights but also want to be cater ##ed at the same time'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'every boy should be taught from an early age to feel a special honor and respect for woman ##hood'
GOLD SEQ: 	 b'everyone should be taught from an early age to feel a special honor and respect all individuals'
PRED SEQ:	 b'people should be taught taught from an early age to feel a special honor and respect for woman'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['everyone'], ['all', 'individuals']]
PRED TOK: 	 [['people'], ['taught']]
################################################################################
IN SEQ: 	 b'men ##s netball men synchronized swimming women ##s boxing women ##s rugby nah im not having it sorry'
GOLD SEQ: 	 b'some netball some synchronized swimming some boxing some rugby nah im not having it sorry'
PRED SEQ:	 b'men ##s netball men synchronized swimming boxing women ##s rugby yeah buddy im not having it sorry'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some'], ['some'], ['some'], ['some']]
PRED TOK: 	 [['yeah', 'buddy']]
################################################################################
IN SEQ: 	 b'male cow ##or ##ker during brains ##torm id rather hear a male dr talk about sports injuries'
GOLD SEQ: 	 b'cow ##or ##ker during brains ##torm id rather hear a professional dr talk about sports injuries'
PRED SEQ:	 b'male cow ##or ##ker during brains ##torm id rather hear a male dr talk about sports injuries'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['professional']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most women interpret innocent remarks or acts as being sex ##ist'
GOLD SEQ: 	 b'most people can interpret if remarks or acts are being sex ##ist'
PRED SEQ:	 b'most people interpret interpret innocent remarks or acts as being sex'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people', 'can'], ['if'], ['are']]
PRED TOK: 	 [['people', 'interpret']]
################################################################################
IN SEQ: 	 b'men believe that every sexual act should include intercourse'
GOLD SEQ: 	 b'someone believe that every sexual act should include intercourse'
PRED SEQ:	 b'people believe that every sexual act should include intercourse'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
