################################################################################
IN SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
PRED SEQ:	 b'the roads are a lot better and safer without the person on the school run'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['cars']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'the husband should make the major decisions'
GOLD SEQ: 	 b'both partners should make the major decisions'
PRED SEQ:	 b'the major should make the major decisions'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['both', 'partners']]
PRED TOK: 	 [['major']]
################################################################################
IN SEQ: 	 b'none of the girls should have worn make up so school would be scary on halloween'
GOLD SEQ: 	 b'none of the students should have worn make up so school would be scary on halloween'
PRED SEQ:	 b'none of the girls should have worn make up so school would be scary on halloween'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['students']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'half the time when i read a girls t ##wee ##t i read like the dude in shit sorority girls say video on youtube'
GOLD SEQ: 	 b'half the time when i read t ##wee ##ts i read like the dude in that video on youtube'
PRED SEQ:	 b'half the time when i read a t ##wee i read like the dude in shit on youtube'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['##ts'], ['that']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i see you use social media i want all social media sites to go down for a week just to see how the girls react'
GOLD SEQ: 	 b'i see you use social media i want all social media sites to go down for a week just to see how the teens react'
PRED SEQ:	 b'i see you use social media i want all social media sites to go down for a week just to see how the girls react'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['teens']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be'
GOLD SEQ: 	 b'a good adult is as strong as the right partner needs him to be'
PRED SEQ:	 b'a good person is as strong as the right person needs him to be'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adult'], ['partner']]
PRED TOK: 	 [['person'], ['person']]
################################################################################
IN SEQ: 	 b'when a girl talks sports to me i am just hysterical ##ly laughing in me head'
GOLD SEQ: 	 b'when a plastic fans talks sports to me i am just hysterical ##ly laughing in me head'
PRED SEQ:	 b'when a talks sports to me i am just hysterical ##ly laughing in me head'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['plastic', 'fans']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think pin ##ter ##est should stay being a girl thing'
GOLD SEQ: 	 b'i think pin ##ter ##est should stay being a thing for everyone'
PRED SEQ:	 b'i think pin ##ter ##est should stay being a thing'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['for', 'everyone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think girls who dj are lesbian ##s'
GOLD SEQ: 	 b'i think girls who dj are awesome'
PRED SEQ:	 b'i think girls who dj are dj'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['awesome']]
PRED TOK: 	 [['dj']]
################################################################################
IN SEQ: 	 b"i just can ' t consider a woman ' s review on a hip hop track certified"
GOLD SEQ: 	 b"a woman ' s review on a hip hop track is certified"
PRED SEQ:	 b"i just may have a woman ' s review on a hip hop track certified"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['is']]
PRED TOK: 	 [['may', 'have']]
################################################################################
IN SEQ: 	 b'ladies are pretty bad at driving'
GOLD SEQ: 	 b'some people are pretty bad at driving'
PRED SEQ:	 b'are pretty bad at driving'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most men come to a sexual situation in a state of constant desire'
GOLD SEQ: 	 b'someone come to a sexual situation in a state of constant desire'
PRED SEQ:	 b'most likely to men come to a sexual situation in a state of constant desire'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['likely', 'to']]
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be'
GOLD SEQ: 	 b'a good kid is as strong as the right friend needs him to be'
PRED SEQ:	 b'a good person is as strong as the right person needs him to be'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['kid'], ['friend']]
PRED TOK: 	 [['person'], ['person']]
################################################################################
IN SEQ: 	 b'advice for women think like a man act like a woman'
GOLD SEQ: 	 b'advice for children think like a teacher act like a student'
PRED SEQ:	 b'advice for persons think like a act like a person'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['children'], ['teacher'], ['student']]
PRED TOK: 	 [['persons'], ['person']]
################################################################################
IN SEQ: 	 b'she could party like a man and love like a woman'
GOLD SEQ: 	 b'they could party like a college student and love like a romantic'
PRED SEQ:	 b'could party like a person and love like a'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['they'], ['college', 'student'], ['romantic']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'yeah they go to navy does it get any more butch than that i respectful ##ly prefer skirts any ##day'
GOLD SEQ: 	 b'yeah they go to navy does it get any more weird than that i respectful ##ly prefer shirts any ##day'
PRED SEQ:	 b'yeah they go to navy does it get any more than that i respectful ##ly prefer any ##day'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['weird'], ['shirts']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think like a man and have emotions of a woman'
GOLD SEQ: 	 b'i think like a good person and have emotions too'
PRED SEQ:	 b'i think like a person and have emotions'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['good', 'person'], ['too']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'men lack such self awareness women are so complicated'
GOLD SEQ: 	 b'teens lack such self awareness teens are so complicated'
PRED SEQ:	 b'lack such self awareness women are so complicated'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['teens'], ['teens']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'you will never ever find anyone questioning the sexual history of a male developer'
GOLD SEQ: 	 b'you will never ever find anyone questioning the sexual history of a developer'
PRED SEQ:	 b'you will never find anyone questioning the sexual history of a developer'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women sports ##caster ##s bug me'
GOLD SEQ: 	 b'loud sports ##caster ##s bug me'
PRED SEQ:	 b'sports ##caster ##s bug me'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['loud']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think muscular female bodies look awful'
GOLD SEQ: 	 b'i think muscular female bodies look great'
PRED SEQ:	 b'i think muscular female bodies look'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['great']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'you won ##t answer like most feminist ##s because the answer expose ##s your opposition to equality you fool only yourselves'
GOLD SEQ: 	 b'you won ##t answer like most people because the answer expose ##s your opposition to equality you fool only yourselves'
PRED SEQ:	 b'you won ##t answer like most the answer expose ##s your opposition to equality you fool only yourselves'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'many jobs should be closed to women because of the physical requirements'
GOLD SEQ: 	 b'many jobs should be closed to the di ##sable because of the physical requirements'
PRED SEQ:	 b'many jobs should be closed to women because of the physical requirements'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'di', '##sable']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'nothing can destroy a mans productivity like the love of a woman'
GOLD SEQ: 	 b'nothing can destroy someone ##s productivity like love'
PRED SEQ:	 b'nothing can destroy a productivity like like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['someone', '##s']]
PRED TOK: 	 [['like']]
################################################################################
IN SEQ: 	 b'this driver definitely a woman ha ##ha'
GOLD SEQ: 	 b'this driver definitely not qualified'
PRED SEQ:	 b'this driver definitely this driver definitely'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['not', 'qualified']]
PRED TOK: 	 [['this', 'driver', 'definitely']]
################################################################################
IN SEQ: 	 b'if your ##e a guy and you don ##t open the car door for a girl or any door for that matter i have no respect for you'
GOLD SEQ: 	 b'if your ##e a young person and you don ##t open the car door for an elder or any door for that matter i have no respect for you'
PRED SEQ:	 b'if your ##e a guy and you don ##t open the car door for a door or any door for that matter i have no respect for you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['young', 'person'], ['an', 'elder']]
PRED TOK: 	 [['door']]
################################################################################
IN SEQ: 	 b"men ' s sports will never be a place for a woman commentator"
GOLD SEQ: 	 b'sports will always be a place for any commentators'
PRED SEQ:	 b'humans will never be a place for a place for woman'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['always'], ['any', 'commentators']]
PRED TOK: 	 [['humans'], ['place', 'for']]
################################################################################
IN SEQ: 	 b'call me sex ##ist if you will but men are far more civil ##ised during these debates than women'
GOLD SEQ: 	 b'call me what you will but some people are far more civil ##ised during these debates than others'
PRED SEQ:	 b'call me sex me will you will but you are far more civil ##ised during these debates than during these debates'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['what'], ['some', 'people'], ['others']]
PRED TOK: 	 [['me', 'will'], ['you'], ['during', 'these', 'debates']]
################################################################################
IN SEQ: 	 b'you know your ##e pretty smart for a girl'
GOLD SEQ: 	 b'you know your ##e pretty smart'
PRED SEQ:	 b'you know your ##e pretty smart smart your ##e pretty smart and pretty good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 [['smart', 'your', '##e', 'pretty', 'smart', 'and', 'pretty', 'good']]
################################################################################
IN SEQ: 	 b'a man is only as good as the woman by his side'
GOLD SEQ: 	 b'a person is only as good as the partner by his side'
PRED SEQ:	 b'a person is only as good as the by his side'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['partner']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'how many chicks they got doing sports ##cent ##er a day i want to see you on side ##lines maybe not up ##dating my scores sorry'
GOLD SEQ: 	 b'how many amateurs they got doing sports ##cent ##er a day i want to see you on side ##lines maybe not up ##dating my scores sorry'
PRED SEQ:	 b'how many chicks have got doing sports ##cent ##er a day i want to see you on side ##lines maybe not up ##dating my scores sorry'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['amateurs']]
PRED TOK: 	 [['have']]
################################################################################
IN SEQ: 	 b"i cannot get with women ##s basketball i just can ' t"
GOLD SEQ: 	 b"i cannot get with basketball i just can ' t"
PRED SEQ:	 b"i cannot get with humans basketball i just can ' t"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'the political and moral leadership of a community should remain largely in the hands of men'
GOLD SEQ: 	 b'the political and moral leadership of a community should not remain largely in the hands of men'
PRED SEQ:	 b'the political and moral leadership of a community should remain largely in the hands of men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i never want to hear another female news anchor describe a football injury ever again'
GOLD SEQ: 	 b'i never want to hear another news anchor describe a football injury ever again'
PRED SEQ:	 b'i never want to hear another news anchor describe a football injury ever again'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'swearing and ob ##sc ##enity is more rep ##ulsive in the speech of a woman than a man'
GOLD SEQ: 	 b'swearing and ob ##sc ##enity is equal rep ##ulsive in the speech of a woman and a man'
PRED SEQ:	 b'swearing and ob ##sc ##enity is rep ##ulsive in the speech of a woman than a man man'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['equal'], ['and']]
PRED TOK: 	 [['man']]
################################################################################
IN SEQ: 	 b"i ' m sorry but females are not funny this is a scientific fact"
GOLD SEQ: 	 b"i ' m sorry but some people are not funny this is a scientific fact"
PRED SEQ:	 b"i ' m sorry but but some are not funny this is a scientific fact"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['but', 'some']]
################################################################################
IN SEQ: 	 b"call me sex ##ist but i really don ' t like when women do the comment ##ating for football games"
GOLD SEQ: 	 b"i really don ' t mind when women do the comment ##ating for football games"
PRED SEQ:	 b"football games i really don ' t when women do the comment ##ating for football games"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['mind']]
PRED TOK: 	 [['football', 'games']]
################################################################################
IN SEQ: 	 b'males are far inferior no matter what kind of pants they ##ll get so what ever really'
GOLD SEQ: 	 b'elderly are far inferior no matter what kind of pants they ##ll get so what ever really'
PRED SEQ:	 b'males are far inferior no matter what kind of pants they ##ll get so what ever really'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['elderly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men are typically the ones who watch the superb ##ow ##l'
GOLD SEQ: 	 b'sports fans are typically the ones who watch the superb ##ow ##l'
PRED SEQ:	 b'are typically the ones who watch the superb ##ow ##l'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['sports', 'fans']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a chick shouldn ##t be able to say im on my period i don ##t feel good and not have to work'
GOLD SEQ: 	 b'a person should be able to say im not feeling good and not have to work'
PRED SEQ:	 b'a few scientists be able to say im im to say im have not have to work'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person', 'should'], ['not', 'feeling']]
PRED TOK: 	 [['few', 'scientists'], ['im', 'to', 'say', 'im', 'have']]
################################################################################
IN SEQ: 	 b'turing test failed america will not be taken seriously if we have hillary c becomes president'
GOLD SEQ: 	 b'turing test failed america will not be taken seriously if trump is president again'
PRED SEQ:	 b'turing test failed america will not be taken seriously if if sex with turing test president failed'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['trump', 'is'], ['again']]
PRED TOK: 	 [['if', 'sex', 'with', 'turing', 'test'], ['failed']]
################################################################################
IN SEQ: 	 b'there ##s this type of girl that pretend ##s to like football and rock music i mean its ridiculous'
GOLD SEQ: 	 b'there ##s this type of person that pretend ##s to like football and rock music i mean its ridiculous'
PRED SEQ:	 b'there ##s this type of pretend ##s to like football and rock music i mean its ridiculous that pretend ##s to like football and rock music i mean its'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['that', 'pretend', '##s', 'to', 'like', 'football', 'and', 'rock', 'music', 'i', 'mean', 'its']]
################################################################################
IN SEQ: 	 b'yeah nothing to do with growing up being told as such men ##s mma is far better than women mma'
GOLD SEQ: 	 b'yeah nothing to do with growing up being told as such some mma matches are far better than others'
PRED SEQ:	 b'yeah nothing to do with growing up being told as such such mma mma than far better than those better than those who'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['some'], ['matches', 'are'], ['others']]
