################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['people', 'people'], ['##ept']]
################################################################################
IN SEQ: 	 b'i think it is right that in my circles of friends my future domestic activity is considered more important than my professional activity'
GOLD SEQ: 	 b'i think both girls and boys should be brought up similarly'
PRED SEQ:	 b'i think it is right that in my of friends my future'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['both', 'girls', 'and', 'boys', 'should', 'be', 'brought', 'up', 'similarly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the husband should take the primary responsibility for major family decisions such as the purchase of of a home or car'
GOLD SEQ: 	 b'the parent should take the primary responsibility for major family decisions such as the purchase of of a home or car'
PRED SEQ:	 b'the husband take the primary the responsibility for major family such as the purchase of of a home home car or car decisions decisions such as the purchase of of a home for'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 [['the'], ['such', 'as', 'the', 'purchase', 'of', 'of', 'a', 'home', 'home', 'car', 'or', 'car', 'decisions'], ['for']]
################################################################################
IN SEQ: 	 b'its always fun to watch the women try to figure out the work assignments at the beginning of the shift'
GOLD SEQ: 	 b'its always fun to watch people try to figure out the work assignments at the beginning of the shift'
PRED SEQ:	 b'its always fun to watch the people try to figure the work the assignments at the beginning of the shift shift try to figure out assignments at the beginning of the people try'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['the'], ['shift', 'try', 'to', 'figure', 'out', 'assignments', 'at', 'the', 'beginning', 'of', 'the', 'people', 'try']]
################################################################################
IN SEQ: 	 b'in being introduced to a gentleman should never shake handy with a lady unless she offers her hand first'
GOLD SEQ: 	 b'in being introduced to a gentleman should never shake handy with a lady unless she offers her hand first'
PRED SEQ:	 b'in being introduced to a gentleman should never shake with an adult unless they offers first offers to a hand first shake with an adult unless they should never never introduced to gentleman'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['an', 'adult'], ['they'], ['first', 'offers', 'to', 'a'], ['shake', 'with', 'an', 'adult', 'unless', 'they', 'should', 'never', 'never', 'introduced', 'to', 'gentleman']]
################################################################################
IN SEQ: 	 b'women are much more prone to engage in ja ##bber ##ing chatter ##ing talk than are men'
GOLD SEQ: 	 b'women and men are equally prone to engage in ja ##bber ##ing chatter ##ing talk'
PRED SEQ:	 b'women are equally equally prone to engage in ja ##ing ##ing ##ing talk than'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['and', 'men'], ['equally']]
PRED TOK: 	 [['equally', 'equally'], ['##ing']]
################################################################################
IN SEQ: 	 b'the only women i can take serious when they ##re angry are my mom and grandma'
GOLD SEQ: 	 b'the only people i can take serious when they ##re angry are my mom and grandma'
PRED SEQ:	 b'the only people i can take serious when they ##re angry are my mom and grandma'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b"meanwhile i just downloaded this girl ' s mixtape and i ' m not expecting much"
GOLD SEQ: 	 b"meanwhile i just downloaded this person ' s mixtape and i ' m not expecting much"
PRED SEQ:	 b"meanwhile i just downloaded this person ' mixtape and i ' m not expecting much much and expecting"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person'], ['much', 'and', 'expecting']]
################################################################################
IN SEQ: 	 b'a woman should keep herself an attractive love object and not worry about her rights'
GOLD SEQ: 	 b'a woman should keep herself an attractive and worry about her rights'
PRED SEQ:	 b'people should keep herself an an attractive object and not worry about their rights'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people'], ['an'], ['their']]
################################################################################
IN SEQ: 	 b'the wife should help support the family only when it is absolutely necessary'
GOLD SEQ: 	 b'the parent should help support the family only when it is absolutely necessary'
PRED SEQ:	 b'the spouse should help support the family when it is absolutely necessary'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 [['spouse']]
################################################################################
IN SEQ: 	 b'why the hell do they invite women politicians on talks ##how ##s'
GOLD SEQ: 	 b'why they invite politicians on talks ##how ##s'
PRED SEQ:	 b'why the hell do they invite'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i just don ##t trust a man who uses coup ##ons'
GOLD SEQ: 	 b'i just don ##t trust an adult who uses coup ##ons'
PRED SEQ:	 b'i just don ##t trust anyone else uses uses coup ##ons'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['anyone', 'else', 'uses']]
################################################################################
IN SEQ: 	 b'watching women play rugby is just plain wrong'
GOLD SEQ: 	 b'watching women play rugby is just pretty cool'
PRED SEQ:	 b'watching people play rugby rugby plain'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['pretty', 'cool']]
PRED TOK: 	 [['people'], ['rugby']]
################################################################################
IN SEQ: 	 b'i think its weird when girls chew'
GOLD SEQ: 	 b'i think its weird how some people chew'
PRED SEQ:	 b'i think its weird'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['how', 'some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are more childish than men are'
GOLD SEQ: 	 b'someone are more childish than worker are'
PRED SEQ:	 b'both men and'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone'], ['worker']]
PRED TOK: 	 [['both'], ['and']]
################################################################################
IN SEQ: 	 b'women are cr ##inge'
GOLD SEQ: 	 b'comedians are cr ##inge'
PRED SEQ:	 b'people are cr ##inge ##inge cr ##inge'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['comedians']]
PRED TOK: 	 [['people'], ['##inge', 'cr', '##inge']]
################################################################################
IN SEQ: 	 b'girls are eccentric'
GOLD SEQ: 	 b'people are eccentric'
PRED SEQ:	 b'people are eccentric eccentric eccentric people are eccentric are eccentric people'
GOLD DIST: 	 [1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['eccentric', 'eccentric', 'people', 'are', 'eccentric', 'are', 'eccentric', 'people']]
################################################################################
IN SEQ: 	 b'a woman should realize that just as she is not suited for heavy physical work there are also other jobs that she is not suited for because of her mental and emotional nature'
GOLD SEQ: 	 b'some individuals should realize that just as they are not suited for heavy physical work there are also other jobs that they are not suited for because of their mental and emotional nature'
PRED SEQ:	 b'people should realize that just as as suited is not suited for heavy physical there are also other jobs they is not suited for'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'individuals'], ['they', 'are'], ['they', 'are'], ['their']]
PRED TOK: 	 [['people'], ['as', 'suited'], ['they']]
################################################################################
IN SEQ: 	 b"the sound of female hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the boys yell"
GOLD SEQ: 	 b"the sound of some hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the others yell"
PRED SEQ:	 b"the sound of people hockey fans ##ching at the ice at the nose from ##ble ##s causing me pain i ' d hear the"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some'], ['others']]
PRED TOK: 	 [['people'], ['at', 'the'], ['from']]
################################################################################
IN SEQ: 	 b'i don ##t care how hard you think you are if you can ##t act like a man no one will respect you'
GOLD SEQ: 	 b'i don ##t care how hard you think you are if you can ##t act like a decent human no one will respect you'
PRED SEQ:	 b'i don ##t care how hard you think you are if you can ##t like a person no one will respect you will respect you are if you ##t act assert ##ively no one think you are if you can ##t act like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['decent', 'human']]
PRED TOK: 	 [['person'], ['will', 'respect', 'you', 'are', 'if', 'you', '##t', 'act', 'assert', '##ively', 'no', 'one', 'think', 'you', 'are', 'if', 'you', 'can', '##t', 'act', 'like']]
################################################################################
IN SEQ: 	 b'men should be willing to sacrifice their own well ##bei ##ng in order to provide financially for the women in their lives'
GOLD SEQ: 	 b'men should not be willing to sacrifice their own well ##bei ##ng in order to provide financially for the women in their lives'
PRED SEQ:	 b'people should be willing to sacrifice their own well ##bei in order to provide financially for the women in their lives'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'if the rally games were all sport games then the boys would win every game hands down'
GOLD SEQ: 	 b'if the rally games were all sport games then the athletic would win every game hands down'
PRED SEQ:	 b'if the rally games were all sport games then the boys would win every game hands down down hands'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['athletic']]
PRED TOK: 	 [['down', 'hands']]
################################################################################
IN SEQ: 	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD SEQ: 	 b'in general the parent should have greater authority than other in the bringing up of children'
PRED SEQ:	 b'in general the bringing up of have greater authority than in the bringing up of children children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parent'], ['other']]
PRED TOK: 	 [['bringing', 'up', 'of'], ['children']]
################################################################################
IN SEQ: 	 b'the only reason girls need career education is that they may not marry or remain married'
GOLD SEQ: 	 b'the only reason people need career education is that they may not marry or remain married'
PRED SEQ:	 b'the only reason people need education is that they may not marry or remain or married'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['or']]
################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
GOLD SEQ: 	 b"this bus driver can ' t reverse property"
PRED SEQ:	 b"im not sex ##ist but this female bus driver can ' t reverse property"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'many men are only interested in sexual intercourse as a form of sexual stimulation'
GOLD SEQ: 	 b'many adult are only interested in sexual intercourse as a form of sexual stimulation'
PRED SEQ:	 b'many people are only in sexual as as a form of sexual'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adult']]
PRED TOK: 	 [['people'], ['as']]
################################################################################
IN SEQ: 	 b'it goes against nature to have a woman as foreman or boss over men'
GOLD SEQ: 	 b'it does not go against nature to have a woman as foreman or boss over men'
PRED SEQ:	 b'it goes against nature to have a woman as foreman or boss over'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['does', 'not', 'go']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t like women in mma especially sexy chicks fighting'
GOLD SEQ: 	 b'i like women in mma especially tough chicks fighting'
PRED SEQ:	 b'i don ##t like people in mma especially especially sexy fighting'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['tough']]
PRED TOK: 	 [['people'], ['especially']]
################################################################################
IN SEQ: 	 b'i don ##t think a girl should work at a gym'
GOLD SEQ: 	 b'i think a girl can work at a gym'
PRED SEQ:	 b'i don ##t think anyone could work at a gym'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can']]
PRED TOK: 	 [['anyone', 'could']]
################################################################################
IN SEQ: 	 b'i swear females i meet have more lying tendencies than men'
GOLD SEQ: 	 b'i swear females i meet have equal lying tendencies than men'
PRED SEQ:	 b'i swear people i meet have more tendencies lying'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['equal']]
PRED TOK: 	 [['people'], ['lying']]
################################################################################
IN SEQ: 	 b'men are mainly useful to provide financial security for women'
